การตรวจเช็คระดับน้ำมันหล่อลื่นในเครื่องยนต์ตรวจเช็คที่อุปกรณ์ส่วนใดของเครื่องยนต์,,"อ่างน้ำมันเครื่อง, ก้านวัดน้ำมันเครื่อง, กรองน้ำมันเครื่อง, ฝาเติมน้ำมันเครื่อง",ก้านวัดน้ำมันเครื่อง
ข้อใดคือวิธีการสังเกตรอยรั่วซึมของน้ำมันหล่อลื่นเครื่องยนต์,,"สังเกตจากความร้อนที่ขึ้นสูงของเครื่องยนต์, สังเกตที่พื้นที่รถจอด และตามรอยต่อ หรือข้อต่อเครื่องยนต์, สังเกตที่อาการเสียงดังของเครื่องยนต์, สังเกตได้จากการดมกลิ่นน้ำมันหล่อลื่นเครื่องยนต์",สังเกตที่พื้นที่รถจอด และตามรอยต่อ หรือข้อต่อเครื่องยนต์
เมื่อถึงทางรถไฟและมีรถไฟกำลังแล่นผ่าน ผู้ขับขี่ต้องปฏิบัติอย่างไร,,"หยุดรอสัญญาณไฟและเปิดไฟฉุกเฉิน, ขับรถผ่านไปโดยเร็ว, ให้เสียงสัญญาณแตรเตือนและขับผ่านไปได้, หยุดรถให้ห่างจากทางรถไฟไม่น้อยกว่า 5 เมตร",หยุดรถให้ห่างจากทางรถไฟไม่น้อยกว่า 5 เมตร
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,https://lh5.googleusercontent.com/7YPlFgpWFC9pLrPuzoa5qFbxL9tes18Lplp_JdnAB-3vY_zOIgwLelJTxJnvG3FzSR0KMc7kxYgmsC7NsPzd-nlfj9OFG-coIr_ObZXgqEtxp_cXCDn4HsfVwGpjuqU1=w87,"ให้จอดรถทุกชนิด, ห้ามหยุดรถทุกชนิด, ห้ามจอดรถทุกชนิด, ให้หยุดรถทุกชนิด",ห้ามจอดรถทุกชนิด
การตรวจสอบระดับน้ำมันเครื่องในเครื่องยนต์ ควรตรวจสอบเมื่อใด,,"ขณะที่จอดรถบนเนิน, หลังดับเครื่องยนต์ทันที, ขณะที่เครื่องยนต์ทำงาน, ขณะที่เครื่องยนต์ยังเย็นอยู่",ขณะที่เครื่องยนต์ยังเย็นอยู่
เมื่อต้องขับรถเข้าใกล้ทางรถไฟที่ไม่มีเครื่องกั้นข้อใดต่อไปนี้กล่าวถูกต้อง,https://lh4.googleusercontent.com/fwMQ5d186gK4GL4a5vG5HRCMUssjtORnBZ59RrhRmh7RsKpWbP_7PUI5l-bvqrbVMW_cVoWkCkeC0u7ai4z9TXOO3dRvfePUCplONie7t3O1R7Fz5pA4NkiOpob0mokU=w239,"เพิ่มความเร็วเพื่อให้ผ่านไปได้เร็ว, บีบแตรเตือนเพื่อความปลอดภัย, เปิดสัญญาณไฟฉุกเฉิน, ชะลอรถและเตรียมพร้อมที่จะหยุดรถ",ชะลอรถและเตรียมพร้อมที่จะหยุดรถ
บริเวณใดจอดรถได้,,"ทางร่วมทางแยก, บริเวณที่มีช่องจอดรถ, ที่มีป้ายห้ามหยุดรถ, ในอุโมงค์",บริเวณที่มีช่องจอดรถ
เมื่อระดับน้ำในแบตเตอรี่อยู่ในระดับต่ำ ควรเติมด้วยน้ำอะไร,,"น้ำกรด, น้ำยาหล่อเย็น, น้ำกลั่น, น้ำมันเครื่อง",น้ำกลั่น
ผู้ขับขี่ ก ต้องการเลี้ยวขวาและมีรถทางตรงวิ่งสวนมา จะต้องปฏิบัติอย่างไร,https://lh4.googleusercontent.com/Fxl60VPUW-N44maaB1TNQbtmGiO5fyda6dpD1560Z-YsOL2On73SEBXX0u1hxvfiJqX1eFhIaVsrALy6UQlHRvyv4xMp_85MoZ8SQ0RYcESDyIDYXAVtp2biRsToNhAc=w272,"ห้ามเลี้ยวรถ, หยุดรถให้รถทางขวามือผ่านไปก่อนจึงเลี้ยวขวาได้, หยุดรอให้รถทางตรงสวนมาก่อนจึงเลี้ยวขวาได้, เลี้ยวได้ทันที",หยุดรอให้รถทางตรงสวนมาก่อนจึงเลี้ยวขวาได้
ข้อใดต่อไปนี้จะทำให้เกิดการสิ้นเปลืองเชื้อเพลิงมากที่สุด ,,"การเหยียบเบรกและคันเร่งอย่างรุนแรง, การควบคุมพวงมาลัยที่ไม่ดี, การเร่งความเร็วช่วงทางโค้ง, การใช้เกียร์สูงเป็นเวลานาน",การเหยียบเบรกและคันเร่งอย่างรุนแรง
